Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
19,18.70 ,-3.39 ,1.57 ,1.88 ,1.31 ,0.30 ,5.10 ,3.73 ,44.34 ,0.23 ,153,425,284.97 ,289,26.80 ,-1.81 ,0.28 ,-9.33 ,0.29 ,0.65 ,119,119.00 ,8.5,6.11 ,2.79 ,9.31 ,0.37 ,0
20,19.24 ,-5.05 ,0.74 ,0.84 ,0.65 ,0.23 ,2.49 ,3.04 ,22.11 ,0.09 ,359,594,470.83 ,472,22.68 ,3.32 ,0.15 ,1.14 ,0.14 ,0.38 ,40,65.44 ,8.8,7.85 ,1.63 ,9.63 ,0.46 ,0
21,19.38 ,-6.93 ,0.35 ,0.38 ,0.32 ,0.14 ,46.37 ,1.69 ,9.92 ,0.03 ,559,613,585.71 ,587,13.29 ,7.82 ,0.10 ,0.73 ,0.10 ,0.25 ,22,53.55 ,8.95,10.31 ,1.47 ,11.33 ,0.76 ,0
22,20.94 ,-12.72 ,0.90 ,0.98 ,0.82 ,0.16 ,-1.97 ,1.70 ,19.18 ,0.04 ,263,348,305.51 ,305,12.00 ,-0.91 ,0.32 ,-26.55 ,0.37 ,0.87 ,96,96.00 ,9,7.18 ,1.55 ,8.18 ,0.09 ,"Ruprecht_147__cgoc__3,Ruprecht_147__khar__1,Ruprecht_147__dias__1,Ruprecht_147__cocd__1"
23,21.14 ,-5.27 ,0.22 ,0.25 ,0.19 ,0.22 ,49.42 ,1.77 ,6.38 ,0.14 ,893,1011,954.13 ,952,35.62 ,-0.90 ,0.12 ,-2.08 ,0.13 ,0.32 ,19,52.90 ,8.55,10.00 ,0.63 ,11.02 ,0.51 ,0
24,23.33 ,-4.74 ,1.21 ,1.46 ,1.00 ,0.32 ,-10.75 ,2.64 ,18.24 ,0.97 ,381,624,497.01 ,498,17.90 ,-3.75 ,0.12 ,-9.79 ,0.15 ,0.33 ,32,44.49 ,8.9,10.53 ,0.93 ,10.93 ,0.63 ,0
25,23.59 ,11.81 ,0.84 ,1.30 ,0.54 ,0.59 ,-19.57 ,4.52 ,24.68 ,0.43 ,523,743,632.02 ,629,31.22 ,-0.31 ,0.09 ,0.19 ,0.12 ,0.26 ,19,46.17 ,8.95,10.79 ,0.89 ,10.79 ,0.89 ,0
26,24.44 ,-5.00 ,0.44 ,0.58 ,0.33 ,0.43 ,-4.11 ,3.89 ,15.27 ,0.16 ,816,928,872.18 ,875,26.38 ,0.08 ,0.10 ,-4.42 ,0.08 ,0.23 ,42,78.92 ,8.05,8.90 ,0.17 ,8.90 ,0.17 ,0
27,24.78 ,4.54 ,0.24 ,0.25 ,0.22 ,0.11 ,27.12 ,1.53 ,5.86 ,0.03 ,836,964,902.64 ,899,28.99 ,2.36 ,0.10 ,-2.14 ,0.14 ,0.31 ,36,116.70 ,9.35,12.43 ,2.45 ,13.56 ,1.74 ,0
28,25.98 ,2.60 ,0.22 ,0.24 ,0.21 ,0.10 ,-55.93 ,0.25 ,0.98 ,0.25 ,817,953,883.90 ,882,32.57 ,0.81 ,0.12 ,-2.49 ,0.13 ,0.32 ,28,90.77 ,8.9,10.88 ,1.91 ,12.14 ,1.36 ,0
29,26.13 ,1.19 ,0.23 ,0.25 ,0.21 ,0.16 ,-77.76 ,2.55 ,13.38 ,0.12 ,628,684,656.32 ,656,12.57 ,0.45 ,0.12 ,2.83 ,0.11 ,0.27 ,22,88.07 ,8.75,11.21 ,1.24 ,12.27 ,0.96 ,0
30,26.48 ,-2.90 ,1.40 ,1.81 ,1.09 ,0.40 ,-6.65 ,6.52 ,50.93 ,0.33 ,343,541,439.66 ,440,23.07 ,1.07 ,0.12 ,-11.31 ,0.15 ,0.36 ,35,41.42 ,7.9,7.47 ,0.14 ,7.96 ,0.05 ,"Basel_1__khar__1,NGC_6705__khar__1,Basel_1__dias__1,NGC_6705__dias__1,NGC_6705__cocd__1"
31,26.75 ,-6.59 ,0.31 ,0.37 ,0.26 ,0.30 ,39.56 ,1.68 ,10.70 ,0.09 ,511,565,536.75 ,540,13.24 ,-0.32 ,0.09 ,1.21 ,0.08 ,0.22 ,17,36.62 ,7.55,10.73 ,0.49 ,10.73 ,0.49 ,0
32,26.89 ,14.78 ,0.65 ,0.68 ,0.61 ,0.11 ,-53.19 ,3.22 ,30.05 ,0.25 ,299,437,368.40 ,368,15.27 ,-4.96 ,0.17 ,-0.04 ,0.19 ,0.43 ,55,64.98 ,8.6,5.96 ,1.87 ,10.18 ,0.42 ,"Collinder_350__cgoc__3,Collinder_350__khar__1,Collinder_350__dias__1,Collinder_350__cocd__1"
33,27.78 ,0.52 ,0.24 ,0.30 ,0.19 ,0.37 ,70.75 ,1.82 ,12.30 ,0.11 ,482,537,506.89 ,508,10.59 ,-0.13 ,0.15 ,-10.95 ,0.17 ,0.40 ,16,33.94 ,8.9,6.81 ,2.07 ,11.83 ,0.88 ,0
34,29.35 ,2.91 ,0.14 ,0.16 ,0.12 ,0.23 ,6.18 ,0.80 ,3.25 ,0.02 ,784,928,853.08 ,849,30.14 ,-2.24 ,0.15 ,-2.89 ,0.18 ,0.40 ,23,75.88 ,5.95,11.98 ,2.55 ,15.27 ,2.16 ,0
35,29.95 ,12.51 ,1.12 ,1.31 ,0.96 ,0.27 ,57.30 ,3.39 ,21.21 ,0.08 ,490,609,548.39 ,549,24.32 ,0.63 ,0.14 ,-8.77 ,0.14 ,0.32 ,92,127.46 ,7.5,7.93 ,-0.02 ,7.93 ,-0.02 ,"Collinder_359__cgoc__3,Collinder_359__khar__1,Collinder_359__dias__1,Collinder_359__cocd__1"
36,30.40 ,-0.25 ,0.62 ,0.68 ,0.57 ,0.17 ,88.94 ,2.90 ,15.98 ,0.05 ,538,713,624.48 ,624,31.62 ,0.08 ,0.30 ,-6.19 ,0.25 ,0.67 ,67,162.56 ,6.25,7.69 ,0.48 ,7.69 ,0.48 ,"BDSB_125__khar__1,W_43__khar__1"
37,30.49 ,17.08 ,0.74 ,0.86 ,0.64 ,0.26 ,-79.07 ,2.12 ,21.04 ,0.09 ,267,429,347.76 ,347,22.73 ,-0.98 ,0.22 ,-8.53 ,0.21 ,0.56 ,98,100.19 ,7.6,7.30 ,0.05 ,7.71 ,0.01 ,"IC_4665__cgoc__3,IC_4665__khar__1,IC_4665__dias__1,IC_4665__cocd__1"
38,30.54 ,1.04 ,0.15 ,0.16 ,0.13 ,0.18 ,62.68 ,0.25 ,1.52 ,0.11 ,545,603,572.53 ,572,6.76 ,-1.11 ,0.11 ,-5.27 ,0.10 ,0.27 ,8,11.53 ,6.45,10.73 ,0.71 ,10.73 ,0.71 ,0
39,31.37 ,5.24 ,0.50 ,0.57 ,0.43 ,0.24 ,18.62 ,1.69 ,13.52 ,0.07 ,383,490,436.76 ,431,27.46 ,3.29 ,0.39 ,-8.65 ,0.41 ,0.85 ,62,117.00 ,6.45,8.40 ,0.55 ,8.40 ,0.55 ,0
40,31.44 ,-11.69 ,0.98 ,1.38 ,0.69 ,0.50 ,11.98 ,7.12 ,38.19 ,0.22 ,542,743,641.07 ,641,30.85 ,0.29 ,0.15 ,-9.13 ,0.17 ,0.42 ,32,60.39 ,8.75,9.54 ,0.55 ,10.49 ,0.39 ,0
41,31.95 ,3.00 ,0.72 ,0.91 ,0.57 ,0.38 ,-26.64 ,4.80 ,34.34 ,0.16 ,443,522,482.63 ,480,19.46 ,2.51 ,0.22 ,-8.13 ,0.23 ,0.50 ,61,115.35 ,6.85,11.22 ,1.09 ,11.91 ,0.95 ,0
42,34.73 ,-11.50 ,0.38 ,0.40 ,0.35 ,0.12 ,29.83 ,1.03 ,5.99 ,0.03 ,559,618,588.14 ,592,14.70 ,-0.46 ,0.12 ,-5.03 ,0.11 ,0.29 ,41,77.45 ,8.75,10.33 ,0.74 ,11.27 ,0.63 ,0
43,36.18 ,8.35 ,0.47 ,0.48 ,0.45 ,0.05 ,4.44 ,2.61 ,22.82 ,0.06 ,314,471,392.76 ,393,16.93 ,1.18 ,0.25 ,-1.70 ,0.25 ,0.55 ,117,119.61 ,8.75,6.83 ,1.58 ,9.05 ,0.13 ,"NGC_6633__cgoc__3,NGC_6633__khar__1,NGC_6633__dias__1,NGC_6633__cocd__1"
44,36.32 ,5.32 ,0.81 ,0.88 ,0.75 ,0.15 ,-20.06 ,2.68 ,19.49 ,0.02 ,416,529,472.09 ,472,15.86 ,1.25 ,0.20 ,-4.91 ,0.19 ,0.45 ,264,312.38 ,8.8,8.48 ,1.59 ,17.89 ,-0.27 ,"IC_4756__cgoc__3,IC_4756__khar__1,IC_4756__dias__1,IC_4756__cocd__1"
45,36.84 ,-7.79 ,1.85 ,2.56 ,1.34 ,0.48 ,6.30 ,6.84 ,27.29 ,0.24 ,775,975,872.57 ,862,50.66 ,-0.62 ,0.11 ,-2.16 ,0.10 ,0.26 ,179,335.37 ,7.9,8.34 ,0.17 ,9.04 ,0.12 ,0
