Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
76,60.25 ,2.11 ,0.79 ,0.93 ,0.67 ,0.28 ,-4.25 ,2.70 ,22.94 ,0.14 ,369,441,405.07 ,405,10.83 ,6.03 ,0.20 ,0.26 ,0.16 ,0.44 ,73,74.64 ,7.95,8.05 ,0.24 ,8.36 ,0.19 ,"Stock_1__cgoc__3,Stock_1__khar__1,Stock_1__dias__1,Stock_1__cocd__1"
77,61.33 ,13.69 ,0.33 ,0.39 ,0.28 ,0.29 ,23.02 ,0.75 ,7.33 ,0.25 ,234,472,352.13 ,353,24.65 ,1.08 ,0.05 ,-4.06 ,0.07 ,0.19 ,7,8.37 ,7.4,6.02 ,-0.19 ,6.02 ,-0.19 ,0
78,61.49 ,15.81 ,1.54 ,1.56 ,1.52 ,0.03 ,-52.86 ,14.51 ,133.03 ,2.22 ,214,558,372.32 ,375,33.41 ,0.31 ,0.28 ,-3.52 ,0.22 ,0.55 ,50,51.13 ,7.75,9.84 ,0.17 ,9.84 ,0.17 ,0
79,61.81 ,-7.56 ,0.46 ,0.53 ,0.41 ,0.24 ,77.13 ,3.28 ,12.35 ,0.08 ,822,1004,921.59 ,913,37.07 ,-2.10 ,0.14 ,-5.47 ,0.10 ,0.33 ,23,55.80 ,7.8,9.81 ,0.15 ,9.81 ,0.15 ,0
80,62.75 ,3.76 ,0.59 ,0.76 ,0.46 ,0.40 ,8.49 ,1.81 ,7.09 ,0.34 ,789,990,892.04 ,876,48.68 ,1.19 ,0.10 ,-1.01 ,0.09 ,0.24 ,28,53.04 ,7.9,10.76 ,0.33 ,10.97 ,0.26 ,0
81,62.87 ,2.08 ,0.48 ,0.53 ,0.44 ,0.18 ,7.43 ,2.44 ,15.10 ,0.09 ,483,630,555.75 ,556,18.85 ,1.43 ,0.11 ,-1.59 ,0.13 ,0.30 ,49,58.01 ,7.9,9.50 ,0.16 ,10.18 ,0.08 ,"ASCC_105__cgoc__3,ASCC_105__khar__1,ASCC_105__dias__1"
82,63.22 ,-0.54 ,0.63 ,0.71 ,0.56 ,0.22 ,4.40 ,3.97 ,25.39 ,0.09 ,435,638,536.14 ,537,20.73 ,2.34 ,0.11 ,-2.13 ,0.10 ,0.25 ,41,48.48 ,7.9,7.44 ,-0.06 ,7.44 ,-0.06 ,0
83,63.61 ,12.44 ,1.14 ,1.31 ,0.99 ,0.25 ,18.52 ,4.50 ,43.20 ,0.11 ,216,509,358.92 ,358,30.32 ,2.11 ,0.16 ,-3.26 ,0.19 ,0.41 ,42,42.00 ,7.55,7.21 ,-0.18 ,7.21 ,-0.18 ,"ASCC_100__khar__1,ASCC_100__dias__1"
84,64.07 ,-13.10 ,0.40 ,0.42 ,0.39 ,0.07 ,71.08 ,3.61 ,13.72 ,0.06 ,854,960,907.48 ,904,24.60 ,-6.25 ,0.07 ,-9.25 ,0.09 ,0.24 ,38,81.56 ,8.75,9.22 ,1.43 ,11.03 ,0.40 ,0
85,64.12 ,-7.06 ,0.50 ,0.69 ,0.36 ,0.47 ,8.62 ,7.41 ,28.72 ,1.15 ,824,954,894.38 ,887,25.67 ,2.12 ,0.10 ,-1.61 ,0.07 ,0.23 ,11,24.06 ,7.6,12.59 ,0.57 ,12.59 ,0.57 ,0
86,64.49 ,-1.25 ,0.47 ,0.81 ,0.27 ,0.66 ,9.75 ,0.01 ,0.04 ,0.01 ,908,997,945.27 ,944,17.40 ,0.48 ,0.06 ,-2.13 ,0.07 ,0.19 ,12,29.21 ,7.95,11.29 ,0.34 ,11.29 ,0.34 ,"FSR_0165__khar__1,FSR_0165__dias__1"
87,64.73 ,-0.10 ,0.74 ,0.78 ,0.71 ,0.10 ,-36.82 ,11.55 ,46.21 ,0.61 ,763,946,858.83 ,859,40.62 ,-0.87 ,0.06 ,-4.68 ,0.07 ,0.15 ,28,60.32 ,7.65,11.33 ,0.38 ,11.66 ,0.28 ,BDSB_16__khar__1
88,64.83 ,-11.99 ,1.07 ,1.45 ,0.80 ,0.45 ,26.26 ,2.29 ,26.84 ,0.41 ,211,375,293.35 ,293,18.84 ,10.29 ,0.12 ,-5.35 ,0.19 ,0.39 ,16,16.00 ,7.8,10.31 ,0.52 ,10.31 ,0.52 ,0
89,65.61 ,-3.85 ,0.58 ,0.86 ,0.39 ,0.54 ,0.39 ,1.93 ,14.16 ,0.24 ,449,495,470.78 ,468,12.51 ,1.84 ,0.11 ,-9.42 ,0.14 ,0.31 ,17,20.12 ,8.1,7.56 ,-0.08 ,7.56 ,-0.08 ,"NGC_6882__khar__1,NGC_6885__khar__1,Collinder_416__dias__1,NGC_6882__dias__1,AH03_J2011+26.7__dias__1,NGC_6885__dias__1,NGC_6882__cocd__1"
90,65.63 ,-0.63 ,0.22 ,0.25 ,0.19 ,0.22 ,4.71 ,2.44 ,10.56 ,0.23 ,742,860,798.97 ,793,32.14 ,-0.83 ,0.10 ,-5.72 ,0.08 ,0.21 ,24,45.46 ,7.65,11.59 ,0.45 ,11.68 ,0.43 ,0
91,66.48 ,-8.18 ,1.27 ,1.56 ,1.03 ,0.34 ,17.36 ,7.04 ,31.67 ,0.23 ,657,881,766.14 ,764,46.15 ,2.04 ,0.13 ,-3.97 ,0.09 ,0.27 ,30,48.98 ,8,8.75 ,0.04 ,9.58 ,0.01 ,0
92,66.79 ,15.31 ,2.17 ,2.37 ,1.99 ,0.16 ,19.51 ,1.92 ,18.29 ,0.30 ,264,459,360.50 ,361,21.06 ,1.11 ,0.24 ,-2.94 ,0.24 ,0.59 ,250,255.55 ,7.65,5.54 ,-0.20 ,5.54 ,-0.20 ,"Stephenson_1__cgoc__3,Stephenson_1__khar__1,Stephenson_1__dias__1,Stephenson_1__cocd__1"
93,67.19 ,-0.20 ,0.54 ,0.64 ,0.46 ,0.29 ,-2.27 ,1.50 ,7.51 ,0.08 ,602,767,689.44 ,685,33.59 ,-0.85 ,0.10 ,-8.28 ,0.11 ,0.27 ,33,53.88 ,8.6,8.87 ,1.21 ,9.39 ,0.20 ,0
94,67.35 ,-4.74 ,0.39 ,0.45 ,0.34 ,0.23 ,-11.76 ,2.50 ,9.14 ,0.09 ,858,1024,937.51 ,941,31.59 ,2.12 ,0.06 ,1.06 ,0.06 ,0.21 ,20,56.01 ,7.9,12.03 ,0.50 ,12.03 ,0.50 ,0
95,67.47 ,-11.52 ,0.95 ,1.05 ,0.87 ,0.17 ,-7.47 ,3.70 ,23.58 ,0.02 ,498,581,539.41 ,539,16.82 ,4.34 ,0.16 ,-4.64 ,0.13 ,0.38 ,139,164.47 ,7.9,7.03 ,-0.04 ,8.11 ,-0.08 ,"Alessi_12__cgoc__3,FSR_0175__khar__1,Alessi_12__khar__1,Alessi_12__dias__1,Alessi_12__cocd__1"
96,67.93 ,-0.21 ,1.31 ,1.51 ,1.13 ,0.26 ,11.83 ,7.78 ,65.40 ,0.49 ,264,590,419.23 ,409,65.33 ,3.32 ,0.29 ,-1.55 ,0.26 ,0.62 ,87,88.94 ,7.95,6.86 ,-0.08 ,7.75 ,-0.09 ,"Kronberger_52__khar__1,Kronberger_68__khar__1,Kronberger_69__khar__1,Kronberger_52__dias__1,Kronberger_68__dias__1,Kronberger_69__dias__1"
97,68.01 ,11.63 ,0.32 ,0.38 ,0.27 ,0.30 ,36.32 ,1.19 ,10.34 ,0.05 ,350,440,395.29 ,395,14.03 ,0.99 ,0.18 ,1.30 ,0.17 ,0.40 ,32,32.72 ,8,7.86 ,0.04 ,8.78 ,0.04 ,"ASCC_101__cgoc__3,ASCC_101__khar__1,ASCC_101__dias__1"
98,69.60 ,7.20 ,0.58 ,0.64 ,0.52 ,0.18 ,-10.47 ,1.76 ,12.32 ,0.06 ,407,579,492.67 ,492,17.49 ,-0.67 ,0.17 ,-2.42 ,0.15 ,0.45 ,85,100.59 ,7.9,8.05 ,-0.09 ,8.13 ,-0.09 ,"Teutsch_35__cgoc__3,ASCC_103__khar__1,Teutsch_35__dias__1"
99,69.80 ,-11.52 ,0.65 ,0.82 ,0.51 ,0.38 ,17.61 ,4.52 ,19.86 ,0.74 ,677,880,781.54 ,783,36.83 ,0.27 ,0.17 ,-7.84 ,0.21 ,0.44 ,20,32.86 ,8.1,11.19 ,0.14 ,11.19 ,0.14 ,0
100,69.88 ,-7.15 ,0.31 ,0.34 ,0.28 ,0.19 ,-2.16 ,2.83 ,9.43 ,0.03 ,962,1104,1027.46 ,1033,35.03 ,-1.99 ,0.12 ,-9.41 ,0.13 ,0.32 ,258,547.95 ,8.9,9.04 ,0.32 ,9.04 ,0.32 ,"NGC_6940__cgoc__3,NGC_6940__khar__1,NGC_6940__dias__1,NGC_6940__cocd__1"
101,70.08 ,15.36 ,1.67 ,1.76 ,1.58 ,0.10 ,0.86 ,11.85 ,112.27 ,1.11 ,230,522,362.85 ,363,41.58 ,1.44 ,0.33 ,-1.63 ,0.34 ,0.79 ,103,105.30 ,7.65,6.16 ,-0.22 ,6.16 ,-0.22 ,0
102,71.26 ,0.04 ,0.87 ,1.02 ,0.74 ,0.27 ,47.28 ,2.34 ,24.58 ,0.13 ,179,481,328.81 ,327,31.19 ,4.91 ,0.21 ,-0.26 ,0.16 ,0.43 ,41,41.00 ,7.9,7.50 ,-0.14 ,7.50 ,-0.14 ,"Roslund_5__cgoc__1,FSR_0192__khar__1,FSR_0189__khar__1,Roslund_5__khar__1,FSR_0192__dias__1,FSR_0189__dias__1,Roslund_5__dias__1,Roslund_5__cocd__1"
103,71.43 ,0.13 ,0.51 ,0.58 ,0.46 ,0.21 ,-33.80 ,1.71 ,10.97 ,0.04 ,499,572,535.00 ,536,13.79 ,2.04 ,0.13 ,-1.15 ,0.12 ,0.30 ,78,92.33 ,7.95,8.57 ,0.06 ,8.86 ,0.01 ,"Roslund_5__cgoc__3,Roslund_5__khar__1,Roslund_5__dias__1,Roslund_5__cocd__1"
104,71.82 ,-4.14 ,0.68 ,0.74 ,0.61 ,0.17 ,-40.76 ,6.85 ,28.16 ,0.33 ,757,926,834.88 ,836,34.85 ,3.67 ,0.17 ,1.53 ,0.17 ,0.40 ,34,64.22 ,7.95,10.13 ,0.19 ,11.20 ,0.18 ,0
105,72.58 ,1.80 ,1.11 ,1.31 ,0.93 ,0.29 ,-19.92 ,5.83 ,30.39 ,0.05 ,582,741,657.71 ,660,27.88 ,1.03 ,0.12 ,-1.69 ,0.13 ,0.29 ,81,112.48 ,7.95,9.07 ,0.02 ,9.07 ,0.02 ,"Teutsch_8__khar__1,FSR_0198__khar__1,NGC_6871__khar__1,Kronberger_28__khar__1,Biurakan_1__khar__1,Biurakan_2__khar__1,Dolidze_1__khar__1,Berkeley_50__khar__1,NGC_6883__khar__1,Ruprecht_172__khar__1,Teutsch_8__dias__1,FSR_0198__dias__1,NGC_6871__dias__1,Kronberger_28__dias__1,Biurakan_1__dias__1,Biurakan_2__dias__1,Dolidze_1__dias__1,Berkeley_50__dias__1,NGC_6883__dias__1,Ruprecht_172__dias__1,NGC_6871__cocd__1,Biurakan_1__cocd__1,Biurakan_2__cocd__1,NGC_6883__cocd__1,Ruprecht_172__cocd__1"
106,73.39 ,7.09 ,1.51 ,1.97 ,1.16 ,0.41 ,1.20 ,10.20 ,37.47 ,0.28 ,842,1030,934.07 ,936,50.68 ,0.37 ,0.12 ,-0.27 ,0.11 ,0.25 ,57,93.07 ,7.9,8.85 ,-0.05 ,8.85 ,-0.05 ,"ASCC_108__cgoc__1,NGC_6819__khar__1,Skiff_J1942+38.6__khar__1,Skiff_J1942+38.6__dias__1"
107,74.72 ,2.02 ,0.29 ,0.35 ,0.25 ,0.30 ,-1.85 ,1.63 ,6.62 ,0.02 ,798,890,846.33 ,847,20.67 ,-1.18 ,0.08 ,-1.53 ,0.11 ,0.24 ,35,75.03 ,7.75,7.12 ,1.28 ,8.93 ,0.16 ,"ASCC_111__cgoc__3,ASCC_111__khar__1,ASCC_111__dias__1"
108,74.84 ,-10.97 ,0.88 ,1.08 ,0.72 ,0.34 ,-6.48 ,3.28 ,13.41 ,0.21 ,773,910,842.53 ,840,26.18 ,1.02 ,0.11 ,-4.72 ,0.09 ,0.26 ,28,52.95 ,7.65,10.29 ,0.03 ,10.29 ,0.03 ,0
109,75.43 ,-2.91 ,0.29 ,0.43 ,0.20 ,0.54 ,24.47 ,0.13 ,0.60 ,0.44 ,647,801,729.73 ,725,23.18 ,-2.37 ,0.08 ,-5.67 ,0.10 ,0.23 ,12,22.67 ,7.65,10.00 ,0.06 ,10.00 ,0.06 ,0
110,76.38 ,0.50 ,0.52 ,0.76 ,0.35 ,0.54 ,10.08 ,3.76 ,15.10 ,0.12 ,824,890,852.58 ,857,15.39 ,2.90 ,0.11 ,-1.17 ,0.08 ,0.23 ,11,23.61 ,8.65,10.76 ,0.29 ,10.76 ,0.29 ,0
111,78.29 ,2.74 ,0.33 ,0.37 ,0.30 ,0.20 ,-15.58 ,3.29 ,11.23 ,0.04 ,938,1078,1005.78 ,1008,33.18 ,-2.58 ,0.21 ,-6.22 ,0.19 ,0.47 ,103,280.49 ,6.85,5.89 ,0.14 ,8.17 ,0.05 ,"Collinder_419__cgoc__3,Collinder_419__khar__1,FSR_0223__khar__1,FSR_0222__khar__1,Collinder_419__dias__1,FSR_0223__dias__1,FSR_0222__dias__1,Collinder_419__cocd__1"
112,78.69 ,0.50 ,1.04 ,1.22 ,0.88 ,0.28 ,20.63 ,4.61 ,45.24 ,0.17 ,286,415,349.83 ,350,10.76 ,6.00 ,0.18 ,2.21 ,0.17 ,0.43 ,104,104.00 ,7.95,7.56 ,-0.11 ,7.56 ,-0.11 ,"Roslund_6__cgoc__3,FSR_0224__khar__1,DB2001_7__khar__1,IRAS_20264+4042__khar__1,Roslund_6__khar__1,FSR_0227__khar__1,IRAS_20306+4005__khar__1,Kronberger_59__khar__1,FSR_0224__dias__1,Dolidze_10__dias__1,Roslund_6__dias__1,Kronberger_59__dias__1,Roslund_6__cocd__1,RSG6__rsg__3"
113,79.43 ,-9.19 ,0.38 ,0.42 ,0.35 ,0.17 ,8.54 ,1.77 ,8.98 ,0.13 ,653,710,678.81 ,679,10.29 ,2.16 ,0.08 ,-2.34 ,0.13 ,0.30 ,15,24.51 ,7.85,8.79 ,-0.12 ,8.79 ,-0.12 ,0
114,79.98 ,-3.60 ,0.97 ,1.10 ,0.85 ,0.23 ,21.78 ,7.52 ,28.57 ,0.06 ,843,964,904.07 ,905,26.86 ,-3.37 ,0.13 ,-4.16 ,0.14 ,0.30 ,57,106.51 ,7.8,6.79 ,1.04 ,10.82 ,0.07 ,"Roslund_7__khar__1,Roslund_7__dias__1,Roslund_7__cocd__1"
115,80.06 ,-2.09 ,0.45 ,0.76 ,0.27 ,0.65 ,-8.33 ,3.20 ,11.87 ,0.30 ,906,951,928.27 ,928,8.79 ,-4.50 ,0.11 ,-7.63 ,0.08 ,0.21 ,13,27.94 ,7.75,11.36 ,0.44 ,11.36 ,0.44 ,"FSR_0237__khar__1,FSR_0237__dias__1"
116,80.78 ,-2.48 ,0.53 ,0.62 ,0.45 ,0.28 ,-28.71 ,1.42 ,11.21 ,0.06 ,313,556,435.25 ,435,19.15 ,3.28 ,0.08 ,-2.94 ,0.06 ,0.18 ,14,14.32 ,7.75,10.55 ,0.34 ,10.55 ,0.34 ,0
117,81.73 ,6.12 ,0.97 ,1.11 ,0.84 ,0.24 ,-11.03 ,3.72 ,38.24 ,0.28 ,255,415,334.25 ,334,13.78 ,3.62 ,0.19 ,1.67 ,0.17 ,0.47 ,85,85.00 ,7.75,6.97 ,-0.20 ,6.97 ,-0.20 ,"RSG_5__cgoc__3,RSG5__rsg__2d"
118,81.92 ,-3.39 ,1.23 ,1.51 ,1.00 ,0.34 ,-8.67 ,5.36 ,19.62 ,0.10 ,843,1037,942.07 ,940,39.81 ,-1.65 ,0.08 ,-3.50 ,0.09 ,0.19 ,38,92.76 ,8.9,10.76 ,0.38 ,10.76 ,0.38 ,0
119,81.99 ,1.87 ,0.28 ,0.35 ,0.22 ,0.38 ,4.05 ,2.67 ,11.93 ,1.30 ,747,789,768.99 ,769,10.68 ,-0.65 ,0.06 ,-2.00 ,0.07 ,0.16 ,18,43.67 ,8.75,11.17 ,0.92 ,11.17 ,0.92 ,0
120,82.12 ,-3.14 ,0.64 ,0.68 ,0.60 ,0.11 ,-11.81 ,1.23 ,6.37 ,0.09 ,569,770,665.18 ,666,19.84 ,2.76 ,0.16 ,-1.44 ,0.15 ,0.44 ,22,47.22 ,7.75,9.02 ,0.03 ,9.02 ,0.03 ,0
121,82.77 ,-2.43 ,0.80 ,1.31 ,0.49 ,0.62 ,-15.32 ,7.48 ,27.03 ,0.18 ,844,1058,947.98 ,951,52.07 ,0.57 ,0.15 ,-1.87 ,0.12 ,0.30 ,43,139.39 ,8.95,11.43 ,1.54 ,11.77 ,0.84 ,0
122,82.86 ,7.50 ,0.60 ,0.62 ,0.59 ,0.06 ,61.25 ,13.59 ,51.93 ,5.82 ,821,979,900.07 ,900,25.14 ,-1.34 ,0.07 ,-9.26 ,0.04 ,0.14 ,13,34.41 ,9.4,13.31 ,0.85 ,13.99 ,0.82 ,0
123,82.93 ,-6.55 ,0.78 ,0.80 ,0.76 ,0.04 ,-81.12 ,4.66 ,28.70 ,0.10 ,518,600,558.44 ,558,14.51 ,0.80 ,0.12 ,-3.66 ,0.13 ,0.32 ,143,169.23 ,7.95,8.54 ,0.01 ,8.85 ,-0.02 ,"ASCC_113__cgoc__3,ASCC_113__khar__1,ASCC_113__dias__1"
124,83.08 ,-9.90 ,0.33 ,0.35 ,0.31 ,0.12 ,11.20 ,0.91 ,4.69 ,0.06 ,644,683,663.90 ,664,8.83 ,1.54 ,0.11 ,-2.47 ,0.10 ,0.27 ,43,59.79 ,7.95,10.49 ,0.10 ,10.49 ,0.10 ,"NGC_7063__cgoc__3,NGC_7063__khar__1,NGC_7063__dias__1,NGC_7063__cocd__1"
125,83.62 ,0.75 ,1.22 ,1.30 ,1.15 ,0.12 ,18.06 ,2.50 ,22.24 ,0.30 ,245,562,395.38 ,386,64.72 ,4.51 ,0.21 ,0.36 ,0.16 ,0.43 ,33,33.74 ,7.85,7.92 ,-0.07 ,8.84 ,-0.07 ,"DB2001_22__khar__1,FSR_0258__khar__1,FSR_0258__dias__1"
126,83.78 ,0.27 ,0.16 ,0.19 ,0.13 ,0.31 ,-51.21 ,0.45 ,1.90 ,0.06 ,727,883,809.00 ,823,36.20 ,-1.46 ,0.16 ,-1.89 ,0.18 ,0.45 ,15,41.32 ,6.75,10.73 ,1.08 ,12.32 ,0.93 ,0
127,84.82 ,-0.17 ,0.44 ,0.46 ,0.42 ,0.08 ,-0.88 ,2.95 ,12.74 ,0.03 ,719,902,808.38 ,796,48.12 ,-1.29 ,0.39 ,-3.08 ,0.42 ,0.93 ,161,439.08 ,6.25,8.47 ,0.98 ,12.11 ,0.72 ,0
128,84.91 ,6.86 ,1.22 ,1.40 ,1.07 ,0.23 ,0.35 ,3.57 ,34.27 ,0.10 ,223,495,359.55 ,358,30.76 ,3.00 ,0.22 ,1.97 ,0.18 ,0.46 ,74,75.69 ,7.5,8.53 ,0.35 ,10.24 ,0.32 ,"Berkeley_88__khar__1,Berkeley_88__dias__1"
129,85.48 ,-0.49 ,0.30 ,0.32 ,0.29 ,0.08 ,32.03 ,1.35 ,5.39 ,0.01 ,826,906,864.69 ,862,19.83 ,-4.30 ,0.15 ,-6.85 ,0.16 ,0.40 ,192,465.83 ,8.9,10.33 ,1.74 ,11.62 ,0.57 ,"NGC_6997__cgoc__3,CBJC_4__khar__1,NGC_6997__khar__1,NGC_6997__dias__1,NGC_6996__dias__1"
130,86.36 ,-11.56 ,1.43 ,1.69 ,1.21 ,0.28 ,-17.89 ,9.68 ,39.91 ,0.35 ,760,913,836.56 ,834,35.36 ,-4.07 ,0.22 ,-6.56 ,0.23 ,0.53 ,111,181.34 ,7.9,9.47 ,0.13 ,10.11 ,0.11 ,FSR_0264__khar__1
131,86.66 ,-0.73 ,0.33 ,0.37 ,0.29 ,0.23 ,11.24 ,2.40 ,8.44 ,0.05 ,919,1033,965.96 ,976,25.40 ,2.83 ,0.10 ,-1.09 ,0.07 ,0.21 ,24,77.61 ,8.75,11.19 ,0.98 ,11.83 ,0.71 ,0
132,87.32 ,1.57 ,0.85 ,1.04 ,0.69 ,0.33 ,7.01 ,1.73 ,10.70 ,0.10 ,537,575,556.08 ,557,8.74 ,5.58 ,0.15 ,8.53 ,0.15 ,0.42 ,109,151.25 ,8.9,8.37 ,1.59 ,11.30 ,0.53 ,"NGC_6991__cgoc__3,NGC_6991A__khar__1,FSR_0275__khar__1,NGC_6991__dias__1,FSR_0275__dias__1,NGC_6991__cocd__1"
133,87.43 ,9.29 ,0.41 ,0.44 ,0.38 ,0.15 ,-55.94 ,1.40 ,7.47 ,0.06 ,603,691,646.57 ,646,17.04 ,-0.15 ,0.14 ,-1.21 ,0.12 ,0.32 ,69,95.44 ,8,7.10 ,1.35 ,7.44 ,-0.01 ,"Alessi_Teutsch_11__cgoc__3,ASCC_112__khar__1,Alessi_Teutsch_11__dias__1"
134,87.67 ,19.75 ,1.52 ,1.85 ,1.25 ,0.32 ,-11.17 ,2.99 ,31.61 ,0.06 ,209,443,323.28 ,325,11.36 ,-2.47 ,0.30 ,3.79 ,0.30 ,0.81 ,94,94.00 ,8,8.72 ,0.03 ,8.72 ,0.03 ,"MWSC_5373__khar__1,UBC1a__ubc__3,RSG4__rsg__2d"
135,88.01 ,-2.06 ,1.39 ,1.40 ,1.37 ,0.02 ,-27.22 ,7.84 ,31.85 ,0.16 ,728,964,847.65 ,846,58.42 ,-1.09 ,0.13 ,-2.25 ,0.16 ,0.36 ,77,145.31 ,7.9,9.99 ,0.19 ,9.99 ,0.19 ,"Gulliver_33__cgoc__1,NGC_7039__cgoc__2d,Basel_12__khar__1,NGC_7039__khar__1,Basel_13__khar__1,Basel_12__dias__1,NGC_7039__dias__1,Basel_13__dias__1,Majaess_211__dias__1,NGC_7039__cocd__1"
136,88.73 ,-5.79 ,0.84 ,0.95 ,0.74 ,0.22 ,60.27 ,6.58 ,35.17 ,0.35 ,549,739,645.10 ,643,34.54 ,-0.03 ,0.16 ,-0.60 ,0.12 ,0.37 ,42,58.40 ,7.85,10.23 ,0.07 ,10.23 ,0.07 ,0
137,89.84 ,9.50 ,0.37 ,0.47 ,0.29 ,0.40 ,-0.19 ,2.25 ,9.22 ,0.02 ,767,910,839.18 ,838,27.92 ,-2.34 ,0.10 ,-6.04 ,0.09 ,0.24 ,19,46.25 ,7.5,10.36 ,0.03 ,10.36 ,0.03 ,0
138,90.21 ,-2.32 ,0.18 ,0.18 ,0.17 ,0.05 ,52.03 ,0.32 ,1.63 ,0.18 ,650,704,677.23 ,681,12.26 ,-0.41 ,0.15 ,-1.78 ,0.13 ,0.33 ,11,35.66 ,6.5,11.56 ,0.63 ,11.56 ,0.63 ,0
139,90.54 ,2.25 ,0.05 ,0.06 ,0.04 ,0.26 ,-11.40 ,0.07 ,0.42 ,0.01 ,562,662,611.92 ,608,25.82 ,1.43 ,0.33 ,-3.43 ,0.28 ,0.84 ,20,48.82 ,6.1,10.20 ,0.92 ,10.20 ,0.92 ,"LDN_988e__cgoc__3,LDN_988e__khar__1"
140,90.88 ,7.72 ,1.03 ,1.33 ,0.80 ,0.39 ,17.85 ,10.43 ,44.66 ,0.24 ,735,874,804.97 ,803,25.93 ,-3.12 ,0.13 ,-6.78 ,0.17 ,0.36 ,60,113.66 ,7.65,11.02 ,0.14 ,11.02 ,0.14 ,"Patchick_103__khar__1,Patchick_103__dias__1"
141,91.03 ,2.41 ,0.53 ,0.56 ,0.51 ,0.09 ,-25.35 ,3.01 ,11.26 ,0.07 ,856,974,915.25 ,918,27.27 ,-4.78 ,0.12 ,-6.67 ,0.13 ,0.34 ,59,191.26 ,8.9,11.75 ,1.19 ,12.49 ,1.12 ,"Gulliver_48__cgoc__3,LDN_988e__cgoc__1,LDN_988e__khar__1,NGC_7031__khar__1,NGC_7031__dias__1"
142,91.38 ,-2.19 ,1.33 ,1.68 ,1.05 ,0.38 ,-14.14 ,1.85 ,15.22 ,0.26 ,296,544,415.96 ,417,26.04 ,3.34 ,0.21 ,-2.40 ,0.19 ,0.54 ,88,89.98 ,7.5,6.41 ,-0.19 ,6.41 ,-0.19 ,"NGC_7092__cgoc__2d,NGC_7067__khar__1,FSR_0293__khar__1,NGC_7082__khar__1,Platais_1__khar__1,NGC_7092__khar__1,NGC_7067__dias__1,NGC_7071__dias__1,NGC_7082__dias__1,Platais_1__dias__1,NGC_7092__dias__1,NGC_7082__cocd__1,NGC_7092__cocd__1"
143,91.62 ,0.55 ,0.84 ,1.02 ,0.69 ,0.32 ,-4.41 ,2.34 ,9.34 ,0.07 ,800,918,857.79 ,861,26.38 ,1.07 ,0.12 ,-2.46 ,0.11 ,0.33 ,65,207.93 ,8.85,10.71 ,0.58 ,10.71 ,0.58 ,0
144,91.74 ,4.04 ,0.34 ,0.40 ,0.29 ,0.26 ,-77.43 ,1.00 ,6.17 ,0.05 ,488,628,557.90 ,557,28.94 ,1.17 ,0.38 ,-3.41 ,0.26 ,0.83 ,27,66.34 ,6.45,11.32 ,0.98 ,11.32 ,0.98 ,0
145,92.89 ,0.62 ,0.50 ,0.54 ,0.47 ,0.13 ,20.26 ,1.17 ,11.01 ,0.06 ,310,421,365.51 ,365,12.22 ,7.44 ,0.18 ,2.89 ,0.20 ,0.51 ,95,95.00 ,7.9,8.08 ,-0.02 ,8.08 ,-0.02 ,"NGC_7058__cgoc__3,Teutsch_144__khar__1,NGC_7058__khar__1,Teutsch_144__dias__1,NGC_7058__dias__1,NGC_7058__cocd__1"
146,94.22 ,7.58 ,2.98 ,3.48 ,2.55 ,0.27 ,-8.64 ,8.01 ,83.66 ,0.24 ,214,451,327.95 ,329,27.42 ,4.91 ,0.28 ,3.46 ,0.26 ,0.62 ,183,183.00 ,7.65,7.47 ,-0.17 ,7.47 ,-0.17 ,FSR_0310__khar__1
147,94.25 ,7.51 ,1.78 ,2.06 ,1.54 ,0.25 ,-55.44 ,25.40 ,98.88 ,0.70 ,812,962,885.53 ,883,35.12 ,-2.39 ,0.19 ,-4.83 ,0.23 ,0.50 ,188,448.76 ,7.25,6.23 ,0.48 ,8.79 ,0.26 ,0
148,94.40 ,-5.52 ,0.06 ,0.06 ,0.05 ,0.17 ,16.92 ,0.36 ,1.59 ,0.01 ,693,906,795.48 ,782,56.05 ,-2.96 ,0.28 ,-2.58 ,0.30 ,0.76 ,40,109.36 ,7,9.41 ,1.19 ,12.06 ,0.71 ,"IC_5146__cgoc__3,IC_5146__khar__1,IC_5146__dias__1"
149,95.00 ,-1.14 ,1.38 ,1.54 ,1.23 ,0.20 ,-14.84 ,7.15 ,55.73 ,1.01 ,307,590,438.72 ,441,35.00 ,3.86 ,0.25 ,-2.10 ,0.25 ,0.62 ,70,71.57 ,7.55,8.78 ,0.12 ,9.52 ,0.04 ,"FSR_0307__khar__1,FSR_0312__khar__1,FSR_0316__khar__1,Barkhatova_2__khar__1,FSR_0319__khar__1,FSR_0307__dias__1,FSR_0312__dias__1,FSR_0316__dias__1,Barkhatova_2__dias__1,FSR_0319__dias__1"
150,95.06 ,3.62 ,0.81 ,0.93 ,0.71 ,0.24 ,7.03 ,4.49 ,15.75 ,0.06 ,897,1063,976.73 ,980,33.50 ,-4.25 ,0.09 ,-3.99 ,0.09 ,0.24 ,40,129.11 ,7.2,11.36 ,1.10 ,11.79 ,1.00 ,0
