# name, other_name, ra, dec, diameter, ebv, ebv_error, ejh_ejk, distance_modulus, distance_modulus_error, distance, distance_error, age, age_error, url
SAI 140,FSR 282,315.5838,48.1072,4.0,0.78,0.01,0.53,11.79,0.12,2280,130,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_140/
SAI 142,Teutsch 156,315.9446,47.2150,3.0,0.94,0.04,0.6,12.97,0.22,3930,420,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_142/
SAI 141,,315.9454,46.9806,3.0,0.94,0.04,0.6,13.47,0.16,4940,380,8.6,0.05,http://ocl.sai.msu.ru/catalog/sai_141/
SAI 143,,317.7142,50.3086,3.0,1.72,0.24,0.62,14.07,0.17,6520,530,9.25,0.05,http://ocl.sai.msu.ru/catalog/sai_143/
SAI 144,Teutsch 74,326.4317,58.0842,4.0,1.05,0.17,0.64,12.12,0.53,2650,730,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_144/
SAI 145,FSR 336,327.6979,55.2753,8.0,0.55,0.09,0.54,11.67,0.37,2160,400,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_145/
SAI 146,FSR 342,331.9108,53.1025,8.0,0.27,0.01,0.56,11.52,0.47,2010,490,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_146/
NGC 7245,,333.7958,54.3433,7.0,0.43,0.03,,12.65,0.13,3390,210,8.5,0.1,http://ocl.sai.msu.ru/catalog/ngc_7245/
NGC 7261,,335.0282,58.1279,7.0,0.88,0.09,,12.26,0.12,2830,160,8.2,0.05,http://ocl.sai.msu.ru/catalog/ngc_7261/
NGC 7296,,337.0021,52.3226,8.0,0.24,0.03,,11.95,0.16,2450,190,8.45,0.05,http://ocl.sai.msu.ru/catalog/ngc_7296/
Berkeley 96,,337.4548,55.3965,3.0,0.54,0.03,,12.51,0.28,3180,440,7.6,0.05,http://ocl.sai.msu.ru/catalog/berkeley_96/
Berkeley 97,,339.8658,58.9973,4.0,0.77,0.06,,11.91,0.19,2410,220,8.4,0.05,http://ocl.sai.msu.ru/catalog/berkeley_97/
King 18,,343.0042,58.2933,8.0,0.69,0.04,,12.39,0.21,3010,300,8.1,0.05,http://ocl.sai.msu.ru/catalog/king_18/
SAI 147,FSR 394,343.7700,58.7147,5.0,0.7,0.04,0.51,13.73,0.21,5570,570,9.4,0.05,http://ocl.sai.msu.ru/catalog/sai_147/
King 19,,347.0608,60.5064,7.0,0.69,0.08,,12.1,0.24,2630,310,8.75,0.1,http://ocl.sai.msu.ru/catalog/king_19/
SAI 148,FSR 430,348.8729,64.1661,5.0,1.08,0.2,0.66,11.93,0.05,2430,60,8.05,0.05,http://ocl.sai.msu.ru/catalog/sai_148/
King 20,,353.3000,58.4747,10.0,0.77,0.05,,11.22,0.09,1750,80,8.2,0.05,http://ocl.sai.msu.ru/catalog/king_20/
SAI 149,,354.5071,60.5492,7.0,1.29,0.3,0.69,11.87,0.07,2370,80,8.2,-inf,http://ocl.sai.msu.ru/catalog/sai_149/
SAI 150,FSR 441,355.4950,58.5414,5.0,0.78,0.14,0.64,11.84,0.04,2330,40,8.55,0.05,http://ocl.sai.msu.ru/catalog/sai_150/
SAI 151,FSR 465,357.7271,66.1803,5.0,0.78,0.04,0.51,13.6,0.1,5250,250,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_151/
King 12,,358.2534,61.9458,5.0,0.51,0.05,,11.98,0.15,2490,180,7.85,0.05,http://ocl.sai.msu.ru/catalog/king_12/
NGC 7788,,359.1564,61.4004,4.0,0.49,0.02,,12.2,0.17,2750,220,8.2,0.05,http://ocl.sai.msu.ru/catalog/ngc_7788/
SAI 152,FSR 469,359.2683,65.4144,1.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_152/
SAI 153,FSR 460,359.7792,60.6778,7.0,0.86,0.19,0.69,13.45,0.09,4900,210,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_153/
