# name, other_name, ra, dec, diameter, ebv, ebv_error, ejh_ejk, distance_modulus, distance_modulus_error, distance, distance_error, age, age_error, url
SAI 51,Teutsch 133,82.5079,33.4253,3.0,0.62,0.18,0.42,9.54,0.2,810,80,9.3,-inf,http://ocl.sai.msu.ru/catalog/sai_51/
NGC 1931,,82.8579,34.2139,6.0,1.97,0.2,0.84,10.06,0.2,1000,120,7.0,-inf,http://ocl.sai.msu.ru/catalog/ngc_1931/
Koposov 36,,84.2108,31.2108,9.0,0.83,0.11,0.63,11.16,0.16,1700,150,8.35,-inf,http://ocl.sai.msu.ru/catalog/koposov_36/
SAI 52,FSR 812,84.5379,31.7378,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_52/
Koposov 27,Teutsch 1,84.8750,33.3500,3.0,0.45,0.1,0.69,12.8,0.5,3700,900,8.65,-inf,http://ocl.sai.msu.ru/catalog/koposov_27/
Koposov 7,FSR 784,85.1838,35.9236,6.0,3.75,0.37,0.7,13.39,0.35,4760,830,8.2,0.05,http://ocl.sai.msu.ru/catalog/koposov_7/
Berkeley 71,,85.2362,32.2758,3.0,0.91,0.05,0.58,11.94,0.18,2450,110,8.8,0.05,http://ocl.sai.msu.ru/catalog/berkeley_71/
SAI 53,FSR 874,85.2429,20.3550,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_53/
SAI 54,FSR 855,85.5933,22.8344,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_54/
SAI 55,FSR 826,85.7133,28.9453,3.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_55/
Koposov 77,,85.9679,21.7103,5.0,0.57,0.01,0.55,11.23,0.02,1750,50,9.65,0.1,http://ocl.sai.msu.ru/catalog/koposov_77/
Koposov 49,Teutsch 10,86.0925,28.8203,6.0,0.42,0.05,0.94,11.46,0.22,2000,200,9.15,-inf,http://ocl.sai.msu.ru/catalog/koposov_49/
Koposov 10,FSR 795,86.8692,35.4322,4.0,0.81,0.25,0.79,11.54,0.3,2000,300,8.6,-inf,http://ocl.sai.msu.ru/catalog/koposov_10/
King 8,,87.3292,33.6272,4.0,0.44,0.04,0.5,12.47,0.13,3100,200,9.05,0.05,http://ocl.sai.msu.ru/catalog/king_8/
Czernik 23,,87.5150,28.8947,5.0,0.38,0.02,0.53,12.0,0.04,2500,70,8.45,0.05,http://ocl.sai.msu.ru/catalog/czernik_23/
Berkeley 72,,87.5733,22.2497,8.0,0.43,0.01,0.57,12.72,0.2,3500,300,8.65,0.05,http://ocl.sai.msu.ru/catalog/berkeley_72/
Koposov 58,FSR 849,87.7958,25.7781,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_58/
Koposov 43,FSR 848,88.0608,29.9192,8.0,0.38,0.1,0.44,12.21,0.09,2800,120,9.3,0.1,http://ocl.sai.msu.ru/catalog/koposov_43/
SAI 56,FSR 852,88.3775,25.1781,8.0,0.43,0.07,0.47,11.82,0.04,2310,50,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_56/
Koposov 52,Teutsch 5,88.4537,26.8406,5.0,1.03,0.04,0.58,12.32,0.11,2900,140,8.95,0.1,http://ocl.sai.msu.ru/catalog/koposov_52/
Czernik 24,,88.8525,20.8864,6.0,0.26,0.12,0.39,13.32,0.01,4600,10,9.4,0.05,http://ocl.sai.msu.ru/catalog/czernik_24/
Koposov 12,FSR 802,90.2342,35.2767,9.0,0.3,0.03,0.51,11.55,0.03,2050,50,8.9,0.1,http://ocl.sai.msu.ru/catalog/koposov_12/
SAI 57,FSR 932,91.0896,14.5728,5.0,0.39,0.07,0.43,10.18,0.1,1090,50,8.9,0.1,http://ocl.sai.msu.ru/catalog/sai_57/
SAI 58,FSR 921,91.2892,16.6842,5.0,1.33,0.33,0.7,11.8,0.2,2290,220,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_58/
SAI 59,FSR 942,91.4967,13.6644,8.0,0.59,0.01,0.53,11.51,0.25,2000,240,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_59/
SAI 60,Teutsch 58,91.6608,15.9475,4.0,0.9,0.01,0.54,14.5,0.05,7940,190,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_60/
SAI 61,FSR 904,91.7300,19.0072,8.0,0.14,0.16,0.22,10.51,0.02,1260,20,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_61/
NGC 2158,,91.8658,24.0981,15.0,0.34,0.03,0.57,12.58,0.2,3300,300,9.3,0.1,http://ocl.sai.msu.ru/catalog/ngc_2158/
Koposov 53,,92.2342,26.2636,3.0,0.34,0.04,0.61,12.52,0.03,3200,100,8.5,-inf,http://ocl.sai.msu.ru/catalog/koposov_53/
DC 8,,92.3388,31.2317,2.0,0.72,0.06,0.73,11.62,0.4,2100,300,9.0,0.05,http://ocl.sai.msu.ru/catalog/dc_8/
Koposov 63,FSR 869,92.5071,24.5606,5.0,0.26,0.04,0.4,12.32,0.28,3000,350,9.15,0.1,http://ocl.sai.msu.ru/catalog/koposov_63/
Pismis 27,,92.7242,20.6072,4.0,0.68,0.06,0.6,10.04,0.02,1000,10,7.7,-inf,http://ocl.sai.msu.ru/catalog/pismis_27/
SAI 62,FSR 985,92.9542,7.0228,3.0,0.55,0.02,0.56,12.1,0.09,2630,110,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_62/
Koposov 82,Teutsch 136,92.9825,20.6706,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_82/
SAI 63,FSR 987,93.4354,6.9494,4.0,0.37,0.13,0.4,11.4,0.09,1910,80,8.65,0.05,http://ocl.sai.msu.ru/catalog/sai_63/
Koposov 62,,94.5083,24.7106,6.0,0.34,0.02,0.57,12.21,0.05,2800,60,9.4,0.1,http://ocl.sai.msu.ru/catalog/koposov_62/
SAI 64,FSR 948,96.4829,15.8608,4.0,0.08,0.13,0.2,11.84,0.17,2330,190,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_64/
Koposov 41,FSR 839,97.7417,30.2614,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_41/
SAI 65,FSR 979,97.8175,11.0772,3.0,1.17,0.17,0.63,11.65,0.05,2140,50,8.45,0.05,http://ocl.sai.msu.ru/catalog/sai_65/
SAI 66,FSR 1063,98.6579,-0.2669,5.0,0.58,0.01,0.54,11.47,0.14,1970,130,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_66/
SAI 67,Teutsch59,100.9542,-0.8833,6.0,0.57,0.14,0.69,12.34,0.04,2940,50,8.9,-inf,http://ocl.sai.msu.ru/catalog/sai_67/
SAI 68,Patchick 90,101.1779,-0.5394,3.0,0.41,0.09,0.43,14.0,0.2,6310,610,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_68/
SAI 69,,101.3658,-11.7944,3.0,0.35,0.07,0.44,14.27,0.1,7140,340,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_69/
SAI 70,FSR 1125,102.6108,-5.4356,4.0,0.39,0.01,0.52,13.99,0.09,6280,270,9.1,-inf,http://ocl.sai.msu.ru/catalog/sai_70/
SAI 71,FSR 1085,103.2967,-0.1919,4.0,0.08,0.09,0.25,10.62,0.19,1330,120,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_71/
SAI 72,,103.9517,0.2269,5.0,0.82,0.06,0.56,12.49,0.05,3150,70,8.5,0.2,http://ocl.sai.msu.ru/catalog/sai_72/
SAI 73,FSR 1171,105.0546,-10.3206,2.0,0.65,0.07,0.6,13.07,0.29,4110,590,9.5,0.05,http://ocl.sai.msu.ru/catalog/sai_73/
