#_name,other_name,ra,dec,diameter,ebv,ebv_error,ejh_ejk,distance_modulus,distance_modulus_error,distance,distance_error,age,age_error,url,l,b
Koposov 63,FSR 869,92.5071,24.5606,5.0,0.26,0.04,0.4,12.32,0.28,3000.0,350.0,9.15,0.1,http://ocl.sai.msu.ru/catalog/koposov_63/,186.51576538987547,2.5258559690730866
Pismis 27,,92.7242,20.6072,4.0,0.68,0.06,0.6,10.04,0.02,1000.0,10.0,7.7,-inf,http://ocl.sai.msu.ru/catalog/pismis_27/,190.0779627717268,0.7961425797542395
SAI 62,FSR 985,92.9542,7.0228,3.0,0.55,0.02,0.56,12.1,0.09,2630.0,110.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_62/,202.1230617784059,-5.520188379484618
Koposov 82,Teutsch 136,92.9825,20.6706,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_82/,190.1387344159986,1.0385410680980744
SAI 63,FSR 987,93.4354,6.9494,4.0,0.37,0.13,0.4,11.4,0.09,1910.0,80.0,8.65,0.05,http://ocl.sai.msu.ru/catalog/sai_63/,202.41482926593304,-5.134026116980391
Koposov 62,,94.5083,24.7106,6.0,0.34,0.02,0.57,12.21,0.05,2800.0,60.0,9.4,0.1,http://ocl.sai.msu.ru/catalog/koposov_62/,187.25021788232357,4.197333515801541
SAI 64,FSR 948,96.4829,15.8608,4.0,0.08,0.13,0.2,11.84,0.17,2330.0,190.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_64/,195.9495831313169,1.6927407968876973
Koposov 41,FSR 839,97.7417,30.2614,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_41/,183.58812408221357,9.27767462108973
SAI 65,FSR 979,97.8175,11.0772,3.0,1.17,0.17,0.63,11.65,0.05,2140.0,50.0,8.45,0.05,http://ocl.sai.msu.ru/catalog/sai_65/,200.7899479782563,0.6216119790839292
SAI 66,FSR 1063,98.6579,-0.2669,5.0,0.58,0.01,0.54,11.47,0.14,1970.0,130.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_66/,211.25129400438496,-3.8605853586276995
SAI 67,Teutsch59,100.9542,-0.8833,6.0,0.57,0.14,0.69,12.34,0.04,2940.0,50.0,8.9,-inf,http://ocl.sai.msu.ru/catalog/sai_67/,212.84945268776661,-2.0983842479918047
SAI 68,Patchick 90,101.1779,-0.5394,3.0,0.41,0.09,0.43,14.0,0.2,6310.0,610.0,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_68/,212.64521569473985,-1.7425257545814223
SAI 69,,101.3658,-11.7944,3.0,0.35,0.07,0.44,14.27,0.1,7140.0,340.0,9.1,0.05,http://ocl.sai.msu.ru/catalog/sai_69/,222.80315610942625,-6.656257962112787
SAI 70,FSR 1125,102.6108,-5.4356,4.0,0.39,0.01,0.52,13.99,0.09,6280.0,270.0,9.1,-inf,http://ocl.sai.msu.ru/catalog/sai_70/,217.66000037232203,-2.6961487836113966
SAI 71,FSR 1085,103.2967,-0.1919,4.0,0.08,0.09,0.25,10.62,0.19,1330.0,120.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_71/,213.30208450000487,0.3016147605742769
SAI 72,,103.9517,0.2269,5.0,0.82,0.06,0.56,12.49,0.05,3150.0,70.0,8.5,0.2,http://ocl.sai.msu.ru/catalog/sai_72/,213.22804251058915,1.075523766036008
SAI 73,FSR 1171,105.0546,-10.3206,2.0,0.65,0.07,0.6,13.07,0.29,4110.0,590.0,9.5,0.05,http://ocl.sai.msu.ru/catalog/sai_73/,223.1173665501976,-2.760132523696302
SAI 74,FSR 1150,106.1525,-6.6106,3.0,0.94,0.06,0.67,13.6,0.26,5250.0,670.0,8.3,-inf,http://ocl.sai.msu.ru/catalog/sai_74/,220.3134094496225,-0.09798068968779233
SAI 75,Patchick 79,108.8438,-7.4222,4.0,0.23,0.03,0.75,12.24,0.24,2800.0,330.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/sai_75/,222.26644082113313,1.8971540792025698
SAI 76,FSR 1253,111.5725,-18.4319,6.0,0.62,0.01,0.53,12.11,0.24,2640.0,310.0,8.4,0.05,http://ocl.sai.msu.ru/catalog/sai_76/,233.2341040222168,-0.9321126654639035
SAI 77,FSR 1275,112.0258,-21.7961,4.0,0.6,0.1,0.65,12.87,0.12,3750.0,210.0,9.4,0.05,http://ocl.sai.msu.ru/catalog/sai_77/,236.39669312261458,-2.1587499171934637
SAI 78,Teutsch 61,113.6658,-19.7897,3.0,0.55,0.02,0.51,11.42,0.1,1920.0,90.0,6.95,0.05,http://ocl.sai.msu.ru/catalog/sai_78/,235.37508577581727,0.15051772347573492
ESO 368-11,FSR 1353,116.0925,-34.6186,6.0,0.06,0.1,0.19,10.86,0.41,1490.0,310.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/eso_368-11/,249.37313048838308,-5.243594122522393
SAI 79,FSR 1347,117.0142,-33.7097,6.0,1.09,0.15,0.62,11.95,0.07,2450.0,80.0,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_79/,248.962424168917,-4.129976503744909
SAI 80,Teutsch 25,117.1112,-27.9142,5.0,0.57,0.12,0.67,11.48,0.16,1980.0,150.0,9.0,-inf,http://ocl.sai.msu.ru/catalog/sai_80/,243.99242652976622,-1.1380358296984157
SAI 81,,118.03,-28.1225,7.0,0.4,0.02,0.76,12.21,0.19,2770.0,250.0,8.7,-inf,http://ocl.sai.msu.ru/catalog/sai_81/,244.58448721187787,-0.5457239156561491
SAI 82,,118.06,-33.0408,3.0,0.39,0.07,0.46,10.3,0.05,1150.0,30.0,9.45,-inf,http://ocl.sai.msu.ru/catalog/sai_82/,248.8268904905479,-3.038274402540581
SAI 83,,118.3337,-32.5583,3.0,1.0,0.15,0.63,12.96,0.34,3900.0,660.0,8.85,0.05,http://ocl.sai.msu.ru/catalog/sai_83/,248.52956304171258,-2.593813731131836
SAI 84,Kronberger 85,119.59,-34.7692,2.0,1.17,0.19,0.64,14.65,0.11,8500.0,440.0,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_84/,250.96533512498456,-2.84169459852125
SAI 85,FSR 1378,120.2979,-40.6781,6.0,1.21,0.25,0.67,11.74,0.13,2230.0,140.0,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_85/,256.312198272614,-5.44809848493214
ESO 311-21,,120.4233,-41.5992,5.0,0.49,0.02,0.53,11.84,0.08,2330.0,90.0,10.1,0.05,http://ocl.sai.msu.ru/catalog/eso_311-21/,257.15121036863275,-5.848378754371141
Ruprecht 48,,120.6771,-32.0506,3.0,0.29,0.04,0.45,12.41,0.05,3030.0,70.0,8.6,-inf,http://ocl.sai.msu.ru/catalog/ruprecht_48/,249.1303911390457,-0.6393304847899509
SAI 86,,122.0625,-36.6092,6.0,0.69,0.09,0.61,12.41,0.16,3030.0,230.0,8.6,0.05,http://ocl.sai.msu.ru/catalog/sai_86/,253.59315633647736,-2.1173061901399457
SAI 87,FSR 1380,122.7708,-39.9975,4.0,1.28,0.3,0.69,11.8,0.19,2290.0,210.0,8.65,-inf,http://ocl.sai.msu.ru/catalog/sai_87/,256.743840046127,-3.4908777398937803
Ruprecht 54,,122.8404,-31.9436,2.0,0.35,0.04,0.58,12.71,0.27,3480.0,460.0,8.45,0.05,http://ocl.sai.msu.ru/catalog/ruprecht_54/,250.0300558498489,0.9631372608194847
SAI 88,,123.24,-41.8836,2.0,0.92,0.02,0.54,14.58,0.25,8240.0,1000.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_88/,258.5210623750706,-4.224893765764447
Ruprecht 60,,126.0958,-47.2103,4.0,0.57,0.06,0.58,12.84,0.11,3700.0,190.0,8.65,-inf,http://ocl.sai.msu.ru/catalog/ruprecht_60/,264.09468611450177,-5.514870204439885
SAI 89,FSR 1387,126.1054,-39.9364,3.0,1.19,0.11,0.58,11.82,0.18,2310.0,200.0,8.8,-inf,http://ocl.sai.msu.ru/catalog/sai_89/,258.1262698538126,-1.339827295914337
ESO 312-03,FSR 1394,126.1088,-41.2978,6.0,0.52,0.1,0.42,11.68,0.57,2170.0,650.0,8.9,-inf,http://ocl.sai.msu.ru/catalog/eso_312-03/,259.24204245421396,-2.120610498574009
ESO 312-04,,126.7133,-41.2442,2.0,0.49,0.01,0.53,11.91,0.11,2410.0,130.0,8.75,-inf,http://ocl.sai.msu.ru/catalog/eso_312-04/,259.4608446391902,-1.7187680069701785
SAI 90,,126.9954,-41.7694,7.0,1.02,0.21,0.67,12.19,0.11,2740.0,140.0,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_90/,260.0112149620432,-1.8523746187378747
Ruprecht 63,,128.1725,-48.3058,6.0,0.54,0.04,0.57,12.13,0.08,2670.0,100.0,8.5,-inf,http://ocl.sai.msu.ru/catalog/ruprecht_63/,265.803848190473,-5.012712510992997
SAI 91,,129.2642,-50.0644,4.0,0.51,0.02,0.5,12.45,0.16,3090.0,240.0,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_91/,267.6499371834979,-5.48400600505034
SAI 92,FSR 1436,129.8938,-46.2983,5.0,0.39,0.1,0.67,10.99,0.17,1580.0,130.0,8.0,0.05,http://ocl.sai.msu.ru/catalog/sai_92/,264.8936528369647,-2.8755525032719578
SAI 93,FSR 1415,130.0913,-44.7336,3.0,1.87,0.35,0.65,12.74,0.06,3530.0,100.0,9.25,0.05,http://ocl.sai.msu.ru/catalog/sai_93/,263.7366587485988,-1.8120323165303058
Ruprecht 68,,131.1438,-35.9,10.0,0.39,0.05,0.6,11.49,0.08,1990.0,80.0,9.15,0.05,http://ocl.sai.msu.ru/catalog/ruprecht_68/,257.2639741520347,4.25716342587141
SAI 94,,131.1658,-46.2961,5.0,0.48,0.05,0.58,12.96,0.29,3910.0,560.0,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_94/,265.4324319340111,-2.180824904085956
SAI 95,FSR 1454,132.7525,-48.4603,5.0,0.57,0.03,0.56,13.96,0.05,6200.0,140.0,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_95/,267.793510477077,-2.7033153215417607
ESO 211-03,FSR 1463,132.8929,-50.2453,5.0,0.9,0.07,0.58,12.88,0.04,3770.0,70.0,9.05,0.1,http://ocl.sai.msu.ru/catalog/eso_211-03/,269.23244001437956,-3.766669138332535
SAI 96,FSR 1430,132.9558,-44.2631,4.0,2.5,0.33,0.62,12.27,0.33,2840.0,470.0,8.85,0.05,http://ocl.sai.msu.ru/catalog/sai_96/,264.64534403906475,0.07739214315534074
SAI 97,FSR 1432,133.2221,-44.2017,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_97/,264.7201112896602,0.2633696325635287
SAI 98,FSR 1435,134.2625,-43.7611,6.0,1.06,0.06,0.57,10.27,0.3,1130.0,170.0,9.75,0.1,http://ocl.sai.msu.ru/catalog/sai_98/,264.86672288115926,1.119567301898913
SAI 99,,134.5183,-43.4106,5.0,1.84,0.49,0.72,12.6,0.04,3310.0,60.0,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_99/,264.7214153067031,1.4884544269998687
SAI 100,FSR 1450,134.5508,-46.2886,3.0,1.62,0.08,0.56,13.65,0.08,5370.0,200.0,9.1,0.15,http://ocl.sai.msu.ru/catalog/sai_100/,266.91669691545843,-0.3730056963986339
SAI 101,,134.5933,-43.1264,5.0,1.56,0.04,0.52,11.09,0.05,1650.0,40.0,9.0,-inf,http://ocl.sai.msu.ru/catalog/sai_101/,264.5417022752631,1.715347598306273
SAI 102,FSR 1402,136.43,-37.8681,4.0,0.08,0.04,0.33,12.03,0.29,2550.0,360.0,9.6,0.05,http://ocl.sai.msu.ru/catalog/sai_102/,261.5047540196702,6.234433765373547
SAI 103,FSR 1460,136.9104,-47.8336,7.0,1.31,0.2,0.49,11.3,0.7,1800.0,700.0,9.3,0.7,http://ocl.sai.msu.ru/catalog/sai_103/,269.13915014534615,-0.19779170368371976
SAI 104,,137.4783,-48.8508,3.0,1.17,0.11,0.59,9.59,0.14,830.0,55.0,8.9,-inf,http://ocl.sai.msu.ru/catalog/sai_104/,270.1427192382646,-0.6101820568429935
SAI 105,,137.6021,-49.9128,4.0,1.91,0.31,0.64,12.35,0.13,2950.0,180.0,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_105/,270.9751021530293,-1.2747666165213831
SAI 106,,139.4975,-51.0294,5.0,1.02,0.02,0.53,13.56,0.1,5152.0,240.0,9.35,0.05,http://ocl.sai.msu.ru/catalog/sai_106/,272.61609162235897,-1.1739875762188516
SAI 107,Teutsch 103,142.1492,-46.6,3.0,0.62,0.06,0.5,12.23,0.38,2790.0,530.0,8.75,-inf,http://ocl.sai.msu.ru/catalog/sai_107/,270.7501272209992,3.2057109837352775
SAI 108,,144.7204,-52.9578,6.0,0.66,0.02,0.55,12.32,0.08,2910.0,110.0,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_108/,276.2742817974364,-0.3545941321419068
SAI 109,,145.8933,-50.7925,5.0,0.23,0.04,0.46,14.43,0.5,7690.0,2000.0,9.2,0.2,http://ocl.sai.msu.ru/catalog/sai_109/,275.39804080900217,1.7536993291414575
SAI 110,FSR 1509,147.0033,-55.0669,2.0,1.17,0.13,0.61,11.59,0.05,2080.0,50.0,8.75,0.05,http://ocl.sai.msu.ru/catalog/sai_110/,278.66541180712267,-1.0824455160050532
SAI 111,FSR 1521,148.8442,-56.6042,8.0,0.9,0.17,0.66,13.0,0.3,3980.0,590.0,9.45,0.1,http://ocl.sai.msu.ru/catalog/sai_111/,280.43626235437785,-1.6277375830176466
SAI 112,,155.3537,-59.0928,2.0,1.0,0.02,0.52,14.3,0.15,7240.0,520.0,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_112/,284.7003311470659,-1.6381702783357157
SAI 113,,155.6817,-59.5056,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_113/,285.06439137863043,-1.8951381693342086
SAI 114,FSR 1555,162.2321,-59.0494,3.0,0.76,0.05,0.49,13.4,0.3,4790.0,710.0,9.25,0.1,http://ocl.sai.msu.ru/catalog/sai_114/,287.7424480505314,0.16103351043325115
Trumpler 19,,168.5842,-57.5511,14.0,0.08,0.01,0.57,11.4,0.05,1900.0,50.0,9.65,0.05,http://ocl.sai.msu.ru/catalog/trumpler_19/,290.1719197170711,2.895092424996785
SAI 115,FSR 1586,170.6871,-62.3183,5.0,1.6,0.29,0.67,11.92,0.2,2420.0,230.0,8.65,0.1,http://ocl.sai.msu.ru/catalog/sai_115/,292.83229333962913,-1.1983923471980171
SAI 116,,177.325,-62.2297,5.0,0.98,0.08,0.57,11.72,0.17,2200.0,180.0,8.6,0.05,http://ocl.sai.msu.ru/catalog/sai_116/,295.76358657903563,-0.22589038747961634
BH 131,,186.5571,-63.4139,5.0,0.62,0.04,0.57,13.98,0.22,6250.0,670.0,9.1,0.1,http://ocl.sai.msu.ru/catalog/bh_131/,300.1156977802025,-0.6800832151279315
SAI 117,FSR 1663,205.2688,-60.2075,4.0,1.01,0.16,0.63,11.66,0.25,2150.0,260.0,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_117/,309.06524323089883,2.0718181150975585
SAI 118,,205.7658,-63.1647,8.0,0.17,0.21,0.55,10.28,0.62,1140.0,370.0,9.75,0.25,http://ocl.sai.msu.ru/catalog/sai_118/,308.7195559290024,-0.8745354063822549
SAI 119,FSR 1662,206.0592,-62.0675,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_119/,309.0723106364383,0.17314041180627857
SAI 120,,209.675,-61.6689,2.0,1.99,0.3,0.63,12.03,0.21,2550.0,260.0,8.75,0.1,http://ocl.sai.msu.ru/catalog/sai_120/,310.8228899266876,0.16802384180661478
SAI 121,FSR 1686,220.0283,-60.3869,5.0,1.48,0.23,0.64,13.02,0.16,4020.0,300.0,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_121/,315.9721166670465,-0.29609906671932684
SAI 122,,225.0163,-58.8036,8.0,2.26,0.43,0.65,11.12,0.04,1670.0,30.0,8.25,0.15,http://ocl.sai.msu.ru/catalog/sai_122/,318.93478222308136,0.012864108094660747
SAI 123,,242.0725,-50.535,7.0,1.35,0.18,0.61,11.35,0.18,1860.0,160.0,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_123/,331.7035282505787,1.0030586334560367
