#_name,other_name,ra,dec,diameter,ebv,ebv_error,ejh_ejk,distance_modulus,distance_modulus_error,distance,distance_error,age,age_error,url,l,b
King 19,,347.0608,60.5064,7.0,0.69,0.08,,12.1,0.24,2630.0,310.0,8.75,0.1,http://ocl.sai.msu.ru/catalog/king_19/,110.55944935501236,0.13756752786021786
SAI 148,FSR 430,348.8729,64.1661,5.0,1.08,0.2,0.66,11.93,0.05,2430.0,60.0,8.05,0.05,http://ocl.sai.msu.ru/catalog/sai_148/,112.71199742602612,3.214893412287233
King 20,,353.3,58.4747,10.0,0.77,0.05,,11.22,0.09,1750.0,80.0,8.2,0.05,http://ocl.sai.msu.ru/catalog/king_20/,112.83764624444515,-2.855327065146273
SAI 149,,354.5071,60.5492,7.0,1.29,0.3,0.69,11.87,0.07,2370.0,80.0,8.2,-inf,http://ocl.sai.msu.ru/catalog/sai_149/,114.02469413791283,-1.0467679858520444
SAI 150,FSR 441,355.495,58.5414,5.0,0.78,0.14,0.64,11.84,0.04,2330.0,40.0,8.55,0.05,http://ocl.sai.msu.ru/catalog/sai_150/,113.95795193211103,-3.1149276186045456
SAI 151,FSR 465,357.7271,66.1803,5.0,0.78,0.04,0.51,13.6,0.1,5250.0,250.0,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_151/,116.86510696542777,4.024107759441543
King 12,,358.2534,61.9458,5.0,0.51,0.05,,11.98,0.15,2490.0,180.0,7.85,0.05,http://ocl.sai.msu.ru/catalog/king_12/,116.12069625766712,-0.15086295273823802
NGC 7788,,359.1564,61.4004,4.0,0.49,0.02,,12.2,0.17,2750.0,220.0,8.2,0.05,http://ocl.sai.msu.ru/catalog/ngc_7788/,116.42020600822232,-0.7764298313252388
SAI 152,FSR 469,359.2683,65.4144,1.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_152/,117.3127533640581,3.1374811624025005
SAI 153,FSR 460,359.7792,60.6778,7.0,0.86,0.19,0.69,13.45,0.09,4900.0,210.0,9.2,0.05,http://ocl.sai.msu.ru/catalog/sai_153/,116.56634598405199,-1.5456712095154683
